step,state,transition,probability,map
300,3,0,0.5706023732623242,0.7843892782771116
301,3,0,0.8836994376037006,0.7843892782771116
302,3,-1,0.2953672484644414,0.2867318946346401
303,2,1,0.7512531639911864,0.9386488830765071
304,3,0,0.6454401685970586,0.7843892782771116
305,3,-1,0.09270567637343352,0.2867318946346401
306,2,1,0.966281660088214,0.9386488830765071
307,3,-1,0.07160091730788376,0.2867318946346401
308,2,1,0.9321585102965646,0.9386488830765071
309,3,-1,0.03448689629195112,0.2867318946346401
310,2,0,0.4873715543989139,0.4684924734124999
311,2,1,0.9489720900332874,0.9386488830765071
312,3,-1,0.16866366211785744,0.2867318946346401
313,2,-1,0.022561586152650026,0.02984359033599282
314,1,1,0.9086254313977107,0.787063010980868
315,2,1,0.9592352340002481,0.9386488830765071
316,3,-1,0.5301938440055067,0.2867318946346401
317,2,0,0.48906042804005745,0.4684924734124999
318,2,0,0.25063257239709835,0.4684924734124999
319,2,1,0.7914187869561737,0.9386488830765071
320,3,-1,0.22007043271081272,0.2867318946346401
321,2,0,0.3295630019257443,0.4684924734124999
322,2,0,0.2575456198861299,0.4684924734124999
323,2,1,0.9599377959452571,0.9386488830765071
324,3,1,0.9619643151651964,0.9976573836424715
325,4,1,0.8891013069097518,0.8463931411814867
326,5,0,0.6301748645488761,0.7874042703127457
327,5,0,0.8557058719443102,0.7874042703127457
328,5,-1,0.3167828188612041,0.3087684843667915
329,4,-1,0.2811359210961666,0.1854823723941773
330,3,-1,0.2571828730516832,0.2867318946346401
331,2,0,0.3872229903255626,0.4684924734124999
332,2,0,0.2684245935177263,0.4684924734124999
333,2,-1,0.17728573055468355,0.02984359033599282
334,1,0,0.5221627492294099,0.5655222717533037
335,1,0,0.6267458396900736,0.5655222717533037
336,1,0,0.6318250551528426,0.5655222717533037
337,1,1,0.710807225348701,0.787063010980868
338,2,1,0.8861064289072338,0.9386488830765071
339,3,0,0.5729309695924545,0.7843892782771116
340,3,-1,0.37129654373624255,0.2867318946346401
341,2,0,0.6038149598271434,0.4684924734124999
342,2,-1,0.060410479411497464,0.02984359033599282
343,1,-1,0.15218469857521577,0.27845926077243577
344,0,-1,0.0042845329135725585,0.15861622538162168
345,7,0,0.6058076297340313,0.7622678420137292
346,7,0,0.7484499093693915,0.7622678420137292
347,7,0,0.6706135251890093,0.7622678420137292
348,7,-1,0.24274804627154078,0.3067155330597854
349,6,1,0.45927619471848935,0.6517340819109905
350,7,-1,0.03229591900392115,0.3067155330597854
351,6,1,0.7319768533587807,0.6517340819109905
352,7,0,0.6798090216213255,0.7622678420137292
353,7,-1,0.2788305636851591,0.3067155330597854
354,6,1,0.8461921516244701,0.6517340819109905
355,7,-1,0.23404037870758776,0.3067155330597854
356,6,0,0.36017493539962797,0.1693936121412033
357,6,1,0.8737620076490651,0.6517340819109905
358,7,0,0.7715910979213789,0.7622678420137292
359,7,-1,0.2435726916852914,0.3067155330597854
360,6,1,0.959511526709431,0.6517340819109905
361,7,0,0.7729040211360121,0.7622678420137292
362,7,1,0.9666990126499564,0.9555523089539438
363,0,-1,0.1593887941468921,0.15861622538162168
364,7,0,0.5947100623835855,0.7622678420137292
365,7,-1,0.0758210651263802,0.3067155330597854
366,6,1,0.7301144360039828,0.6517340819109905
367,7,0,0.5540488510218144,0.7622678420137292
368,7,0,0.8077026115772032,0.7622678420137292
369,7,-1,0.41459299673114525,0.3067155330597854
370,6,0,0.31920365145336094,0.1693936121412033
371,6,1,0.46095114280187865,0.6517340819109905
372,7,-1,0.44567520304065034,0.3067155330597854
373,6,1,0.5348013019655093,0.6517340819109905
374,7,-1,0.527330162178604,0.3067155330597854
375,6,1,0.5609393516284997,0.6517340819109905
376,7,0,0.8201108558708305,0.7622678420137292
377,7,-1,0.4334257989773118,0.3067155330597854
378,6,0,0.19978812631465726,0.1693936121412033
379,6,1,0.4678988993900477,0.6517340819109905
380,7,1,0.8856357509144015,0.9555523089539438
381,0,0,0.7466896957127958,0.6361657848225597
382,0,0,0.5166421461118911,0.6361657848225597
383,0,-1,0.03136282473774066,0.15861622538162168
384,7,-1,0.16593028304525959,0.3067155330597854
385,6,1,0.7320794605542544,0.6517340819109905
386,7,-1,0.3235491598988667,0.3067155330597854
387,6,0,0.3772977818456933,0.1693936121412033
388,6,0,0.10434660232404269,0.1693936121412033
389,6,0,0.3865676297607967,0.1693936121412033
390,6,0,0.2554193495758368,0.1693936121412033
391,6,1,0.46470148439679027,0.6517340819109905
392,7,-1,0.48347167820238623,0.3067155330597854
393,6,0,0.408080443290189,0.1693936121412033
394,6,1,0.7566493527358296,0.6517340819109905
395,7,0,0.7021677285771832,0.7622678420137292
396,7,-1,0.4926071222539681,0.3067155330597854
397,6,0,0.32913845966737676,0.1693936121412033
398,6,1,0.8708247704639493,0.6517340819109905
399,7,-1,0.07493418780772831,0.3067155330597854
400,6,1,0.6109381617940646,0.6517340819109905
401,7,0,0.6810788653221154,0.7622678420137292
402,7,-1,0.08966900021033752,0.3067155330597854
403,6,1,0.5455816734186529,0.6517340819109905
404,7,-1,0.5270246464563573,0.3067155330597854
405,6,0,0.34318059871701334,0.1693936121412033
406,6,1,0.747915993519582,0.6517340819109905
407,7,1,0.9018083959860776,0.9555523089539438
408,0,0,0.4851675379349629,0.6361657848225597
409,0,-1,0.05505487434895362,0.15861622538162168
410,7,-1,0.5184176528666358,0.3067155330597854
411,6,-1,0.06415382791918423,0.017659530230212828
412,5,-1,0.1383550837107339,0.3087684843667915
413,4,-1,0.3348093765162108,0.1854823723941773
414,3,-1,0.3898465198873262,0.2867318946346401
415,2,-1,0.12836142980125187,0.02984359033599282
416,1,1,0.9304546846975172,0.787063010980868
417,2,-1,0.0018249283318541032,0.02984359033599282
418,1,-1,0.15130050538050588,0.27845926077243577
419,0,0,0.419882002048209,0.6361657848225597
420,0,0,0.42103111079134026,0.6361657848225597
421,0,0,0.7239680911838859,0.6361657848225597
422,0,0,0.7425351465723202,0.6361657848225597
423,0,-1,0.13608241181620673,0.15861622538162168
424,7,-1,0.0548803990357265,0.3067155330597854
425,6,1,0.6733983821988263,0.6517340819109905
426,7,-1,0.20871613286035617,0.3067155330597854
427,6,1,0.8143072385512722,0.6517340819109905
428,7,-1,0.39156346612897086,0.3067155330597854
429,6,0,0.3052828383752064,0.1693936121412033
430,6,1,0.839867772890001,0.6517340819109905
431,7,-1,0.48305123728979904,0.3067155330597854
432,6,1,0.6145710009370109,0.6517340819109905
433,7,-1,0.4331956327534823,0.3067155330597854
434,6,1,0.6362585345214666,0.6517340819109905
435,7,-1,0.3632395289613286,0.3067155330597854
436,6,0,0.3969338512971279,0.1693936121412033
437,6,1,0.94746107062383,0.6517340819109905
438,7,0,0.7001858137590429,0.7622678420137292
439,7,0,0.7591479184181296,0.7622678420137292
440,7,1,0.9403408559790523,0.9555523089539438
441,0,0,0.6781317824077533,0.6361657848225597
442,0,0,0.744255428883122,0.6361657848225597
443,0,0,0.7564752998414705,0.6361657848225597
444,0,0,0.5872760548960227,0.6361657848225597
445,0,-1,0.3922225989306476,0.15861622538162168
446,7,-1,0.008386800373749947,0.3067155330597854
447,6,1,0.4488994772748638,0.6517340819109905
448,7,-1,0.5119852959628719,0.3067155330597854
449,6,1,0.8143246500495174,0.6517340819109905
450,7,0,0.785049790927085,0.7622678420137292
451,7,1,0.9508799030586312,0.9555523089539438
452,0,-1,0.37638432758843043,0.15861622538162168
453,7,-1,0.4861448230706653,0.3067155330597854
454,6,1,0.4470457575000102,0.6517340819109905
455,7,0,0.6366990396097028,0.7622678420137292
456,7,-1,0.4921603125188925,0.3067155330597854
457,6,0,0.32746819918818204,0.1693936121412033
458,6,1,0.49881417642453085,0.6517340819109905
459,7,-1,0.004742942632724789,0.3067155330597854
460,6,-1,0.041521108691460196,0.017659530230212828
461,5,1,0.8984738996164334,0.9786357859459542
462,6,1,0.6287028017527996,0.6517340819109905
463,7,-1,0.06799972439781388,0.3067155330597854
464,6,0,0.14221505276723345,0.1693936121412033
465,6,0,0.40635991185212417,0.1693936121412033
466,6,0,0.37467123481729336,0.1693936121412033
467,6,-1,0.04004521406663142,0.017659530230212828
468,5,-1,0.14175653311237335,0.3087684843667915
469,4,0,0.570833037949962,0.531875513575664
470,4,-1,0.037418390856578165,0.1854823723941773
471,3,0,0.6546209816910629,0.7843892782771116
472,3,-1,0.279398823646021,0.2867318946346401
473,2,1,0.8398919626229315,0.9386488830765071
474,3,-1,0.4393080720399951,0.2867318946346401
475,2,1,0.8618624377616053,0.9386488830765071
476,3,-1,0.48663212318579685,0.2867318946346401
477,2,0,0.4420109009369082,0.4684924734124999
478,2,1,0.9213508151281409,0.9386488830765071
479,3,1,0.9807864882916553,0.9976573836424715
480,4,-1,0.1909601361987603,0.1854823723941773
481,3,-1,0.2752715772739407,0.2867318946346401
482,2,0,0.4664899306273287,0.4684924734124999
483,2,1,0.7673831759923997,0.9386488830765071
484,3,-1,0.43505985448516804,0.2867318946346401
485,2,0,0.6534645097999539,0.4684924734124999
486,2,1,0.9591793927845593,0.9386488830765071
487,3,0,0.5657692252609356,0.7843892782771116
488,3,0,0.8060671309672514,0.7843892782771116
489,3,0,0.5454536730375892,0.7843892782771116
490,3,1,0.96881742425178,0.9976573836424715
491,4,-1,0.05055480655879241,0.1854823723941773
492,3,-1,0.08006501929531384,0.2867318946346401
493,2,0,0.6187998380301656,0.4684924734124999
494,2,-1,0.21811143429460023,0.02984359033599282
495,1,0,0.6421325542837817,0.5655222717533037
496,1,-1,0.3102704152965692,0.27845926077243577
497,0,0,0.8011109505955907,0.6361657848225597
498,0,1,0.9076832114902045,0.977549559440938
499,1,1,0.85235873077556,0.787063010980868
500,2,1,0.9007368815338166,0.9386488830765071
501,3,0,0.7866465897979553,0.7843892782771116
502,3,-1,0.13680930719587336,0.2867318946346401
503,2,1,0.8266390235499923,0.9386488830765071
504,3,-1,0.5099842378803952,0.2867318946346401
505,2,0,0.6658127457213967,0.4684924734124999
506,2,1,0.7798689638823351,0.9386488830765071
507,3,-1,0.5262637486872239,0.2867318946346401
508,2,0,0.4352591998548314,0.4684924734124999
509,2,0,0.6636672481007304,0.4684924734124999
510,2,0,0.32029384790771664,0.4684924734124999
511,2,-1,0.04226847001968026,0.02984359033599282
512,1,-1,0.21959344802642988,0.27845926077243577
513,0,0,0.5223420509753653,0.6361657848225597
514,0,-1,0.3075348594857352,0.15861622538162168
515,7,1,0.876313109823107,0.9555523089539438
516,0,1,0.9238413446150882,0.977549559440938
517,1,0,0.5014847852640552,0.5655222717533037
518,1,1,0.8776807503375579,0.787063010980868
519,2,0,0.31504344317134225,0.4684924734124999
